model,accuracy,precision,recall,f1Score,rocAuc,artifactPath,roc,pr,stat
Logistic Regression,0.9600,0.9375,0.9615,0.9494,0.9932,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\logistic_regression_propertytax_model.pkl,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\logistic_regression_roc.png,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\logistic_regression_pr.png,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\logistic_regression_metrics.png
Random Forest,0.9340,0.9219,0.9077,0.9147,0.9878,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\random_forest_propertytax_model.pkl,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\random_forest_roc.png,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\random_forest_pr.png,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\random_forest_metrics.png
Extra Trees,0.9290,0.9370,0.8769,0.9060,0.9811,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\extra_trees_propertytax_model.pkl,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\extra_trees_roc.png,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\extra_trees_pr.png,C:\Users\jcanl\Documents\PropertyTax\PropertyTax\PropertyTax_ML\models\extra_trees_metrics.png
